#{"t_start": 1783316199.098217, "env_id": "None"}
r,l,t
-520.221993,2,3513.57512
-492.639847,1,3513.661098
-501.986473,1,3513.740304
-531.6559,4,3513.882621
-482.676962,300,3520.747206
-560.0,1,3520.844112
-560.0,1,3520.938279
-501.169705,1,3521.018158
-505.676027,1,3521.099919
-504.544644,1,3521.183582
-500.691323,1,3521.26667
-504.679298,1,3521.338244
-503.175161,1,3521.428589
-514.066971,3,3521.551879
-530.204669,3,3521.683268
-518.705354,3,3521.812172
-507.227686,3,3521.927438
-498.251566,1,3522.009997
-493.987437,3,3522.138298
-519.75262,3,3522.260738
-495.219468,3,3522.397298
-482.304949,3,3522.531283
-502.302051,1,3522.617954
-501.415052,4,3522.782013
-481.046966,5,3522.961712
-492.16829,1,3523.049739
-510.994795,2,3523.14218
-504.422893,1,3523.22102
-501.206334,1,3523.296173
-502.841416,3,3523.413508
-504.293442,4,3523.565569
-529.46052,4,3523.705805
-510.621901,2,3523.822785
-487.137112,3,3523.943468
-507.585768,4,3524.103051
-505.727115,3,3524.228885
-200.21777,169,3528.031327
2540.989528,177,3531.830194
2428.647501,83,3533.696583
-641.106828,187,3537.89624
2105.643602,127,3540.724308
-338.68485,82,3542.588687
-516.240815,5,3542.754921
-501.131494,1,3542.838479
-505.431112,2,3542.939115
-501.936759,1,3543.026266
-522.118635,2,3543.142982
-504.283432,2,3543.238648
-511.852834,2,3543.347019
-501.604877,1,3543.420859
-527.004932,4,3543.57554
-496.757177,1,3543.657633
-501.753428,1,3543.743578
-501.104352,3,3543.871572
-497.128744,4,3544.01176
-510.864991,2,3544.108713
-501.933322,2,3544.202019
-524.505367,3,3544.332395
-497.319795,3,3544.457672
-518.009042,4,3544.605007
-497.388392,1,3544.685343
-512.193287,3,3544.812527
-493.641001,3,3544.93405
-507.436449,4,3545.071927
457.453581,237,3550.353128
3668.721191,290,3556.873146
1925.026226,134,3559.836675
2503.677891,226,3564.81824
2213.447503,145,3568.026805
-332.557735,209,3572.758148
585.543829,198,3577.066604
2233.761259,42,3578.049546
-357.568677,176,3581.99486
-808.159654,59,3583.361676
41.728861,183,3587.316084
3401.21645,256,3592.806592
401.006537,271,3598.77541
2395.530533,69,3600.321846
2649.416115,113,3602.890431
2000.205165,150,3606.187906
-874.12171,83,3608.044575
2128.110129,81,3609.881341
-551.729892,118,3612.505562
3546.058048,278,3622.154768
3079.02323,216,3627.041637
-644.802418,66,3628.546166
2406.106923,148,3631.875351
-447.560745,46,3632.904455
-494.145491,1,3632.981498
-511.281075,4,3633.127724
-510.352118,4,3633.273606
-503.794681,4,3633.416664
-500.558978,1,3633.497789
-523.785227,3,3633.612034
-503.308875,1,3633.694724
-491.612361,5,3633.869726
-510.073753,3,3633.989783
-504.273764,3,3634.119679
-523.617833,2,3634.222221
-507.131727,1,3634.311575
-532.563111,4,3634.454748
-501.507355,1,3634.53653
