#{"t_start": 1783378746.528352, "env_id": "None"}
r,l,t
2639.391491,239,4740.11088
2238.630874,69,4742.639085
2632.303157,269,4752.133049
2579.568025,217,4759.651896
-434.817866,300,4770.930493
51.44261,300,4782.046455
2564.672711,276,4791.815928
2330.419439,72,4794.369575
1978.263026,118,4798.854682
2570.557672,177,4805.825127
-1097.431082,300,4817.076686
657.100664,300,4827.286768
2026.466831,209,4835.803997
2447.630657,212,4843.143868
2739.147681,135,4847.995384
2518.783127,201,4855.159787
2345.19506,214,4862.528303
537.641338,300,4873.65493
2542.57249,128,4878.641384
2676.572903,190,4885.602894
3237.625251,211,4892.978906
2285.956138,250,4902.228382
1887.056581,201,4909.291644
2138.947588,72,4913.043911
2310.454593,93,4915.93681
3182.985082,191,4922.955295
-214.553638,300,4934.182062
2024.285357,277,4943.946839
2046.07015,118,4948.48094
-459.794491,300,4959.913391
15.826773,300,4970.071556
2313.148665,83,4973.974375
2316.86793,211,4981.352705
2818.284224,149,4986.54579
2640.659673,138,4991.435193
2560.766044,249,5000.717608
2769.717342,126,5005.410907
2074.67924,107,5009.837922
2055.892342,70,5012.323392
2704.137167,256,5021.671207
550.932639,300,5032.954078
-344.190248,300,5043.168725
2982.762066,261,5052.763057
2466.704839,200,5061.154326
3068.315175,277,5070.83094
-309.887163,300,5082.173801
1745.62654,253,5091.431313
2626.043861,189,5097.191067
2378.983716,85,5101.185885
2452.690581,241,5110.415856
3371.830432,222,5117.911196
188.885567,300,5129.628275
338.030911,300,5139.630385
2153.74247,85,5143.53508
1966.657422,161,5148.788081
2677.097168,286,5159.918747
2606.049407,185,5166.938861
2762.323548,152,5172.048107
2910.854955,254,5181.196152
2741.329181,206,5188.501475
2657.420193,226,5197.428356
2468.11192,273,5207.04353
-142.045522,300,5218.385793
2283.288003,142,5223.418982
3099.501832,260,5232.940346
2413.911165,129,5237.569521
2001.572967,122,5242.194242
1910.268853,110,5246.501033
2347.865638,234,5254.256846
2513.83975,263,5263.770859
2178.093447,265,5272.993567
2190.3997,52,5275.149879
2018.344773,235,5284.244965
2225.662978,232,5293.245853
2636.878503,141,5298.148766
1746.167672,190,5305.136604
2171.919475,141,5310.081346
-27.091445,300,5321.404247
2485.01137,180,5326.885665
1784.696405,208,5335.381346
1737.910702,147,5340.419687
2731.365736,233,5349.530425
2789.776088,238,5357.365471
2466.977203,126,5362.276538
327.172984,300,5373.55909
2323.524878,232,5382.628524
2840.564841,203,5389.829558
-83.151291,300,5401.125666
1983.603108,155,5406.390988
2121.081752,119,5410.884583
2062.115472,116,5415.398185
-146.513449,300,5425.560325
2723.698431,244,5434.672151
-232.898739,300,5446.015121
634.962509,300,5456.256294
2206.259717,202,5464.55603
-652.910321,300,5474.500333
2304.41186,251,5483.733923
2668.033053,137,5488.607924
412.019115,300,5500.002636
2440.247684,176,5506.756456
-775.170181,300,5518.083845
2084.725015,121,5521.41591
-321.939759,300,5532.631321
597.930268,300,5544.113702
2430.932691,101,5547.086058
2323.146099,105,5551.397646
2425.555178,107,5555.809227
2510.620778,225,5563.380021
3241.080736,242,5572.523123
589.481445,300,5584.047207
2417.113741,245,5592.006885
2691.953404,129,5596.748178
-352.70622,300,5608.170469
2041.369245,258,5617.64732
2040.466419,130,5622.297038
2244.013158,297,5633.813642
140.250575,300,5645.618239
-304.582225,300,5655.740193
569.582674,300,5669.439263
2331.08872,152,5674.741715
